    Time (min)     P1 (mbar)     P2 (mbar)     Temp. (C)
     169.8745         13.93       1042.10         24.92
     169.9581          9.92       1027.07         24.97
     170.0417          5.91       1049.12         25.01
     170.1250          5.91       1033.08         24.99
     170.2073         13.93       1014.05         24.92
     170.2906        524.46        526.07         24.94
     170.3740        519.44        520.06         24.97
     170.4583        519.44        517.05         25.03
     170.5412        515.43        519.06         25.03
     170.6242        521.45        504.03         24.99
     170.7076        521.45        524.07         24.92
     170.7912        519.44        527.07         24.90
     170.8745        518.44        518.06         24.87
     170.9578        522.45        516.05         24.91
     171.0412        523.45        524.07         24.91
     171.1245        522.45        517.05         24.91
     171.2078        525.46        531.08         24.92
     171.2912        521.45        518.06         24.91
     171.3745        517.44        516.05         24.93
     171.4581        515.43        524.07         24.93
     171.5414        515.43        521.06         24.94
     171.6248        518.44        534.09         24.94
     171.7081        525.46        513.05         24.98
     171.7912        514.43        520.06         24.98
     171.8745        516.43        519.06         24.97
     171.9578        514.43        520.06         24.95
     172.0412        523.45        529.08         24.96
     172.1245        519.44        520.06         24.98
     172.2076        509.41        521.06         25.01
     172.2914        508.41        521.06         24.98
     172.3748        516.43        522.06         24.95
     172.4583        511.42        528.08         24.96
     172.5417        513.42        519.06         24.98
     172.6250        521.45        525.07         24.99
     172.7083        519.44        525.07         24.98
     172.7917        521.45        524.07         24.96
     172.8750        528.47        529.08         24.99
     172.9581        517.44        532.08         24.99
     173.0412        522.45        525.07         25.05
     173.1245        517.44        514.05         25.04
     173.2083        521.45        523.07         24.99
     173.2917        513.42        520.06         24.97
     173.3740        516.43        522.06         24.94
     173.4576        522.45        527.07         24.92
     173.5409        523.45        529.08         24.89
     173.6242        517.44        526.07         24.94
     173.7076        516.43        536.09         24.96
     173.7909        514.43        537.09         24.94
     173.8742        528.47        523.07         24.96
     173.9578        519.44        538.10         24.98
     174.0412        518.44        529.08         24.96
     174.1242        527.47        518.06         25.01
     174.2076        522.45        524.07         24.98
     174.2909        516.43        515.05         24.97
     174.3742        522.45        520.06         24.96
     174.4578        516.43        529.08         24.98
     174.5412        522.45        527.07         24.96
     174.6245        516.43        523.07         24.96
     174.7078        524.46        522.06         24.96
     174.7912        519.44        520.06         25.04
     174.8742        520.45        528.08         24.97
     174.9576        525.46        521.06         24.97
     175.0409        517.44        526.07         24.97
     175.1245        520.45        518.06         24.97
     175.2078        521.45        531.08         24.99
     175.2912        273.71        525.07         25.01
     175.3748        109.22        522.06         25.01
     175.4578         64.08        523.07         24.94
     175.5414         40.01        528.08         24.89
     175.6248         29.98        529.08         24.90
     175.7081         27.97        525.07         24.95
     175.7914         16.94        527.07         24.92
     175.8748         15.94        533.09         24.96
     175.9581         12.93        533.09         24.94
     176.0414         15.94        540.10         24.95
     176.1248         13.93        526.07         24.96
     176.2081         19.95        524.07         24.93
     176.2917         16.94        516.05         24.97
     176.3748         19.95        524.07         24.99
     176.4581          6.91        521.06         24.98
     176.5417          7.91        533.09         24.97
     176.6250         13.93        520.06         24.97
     176.7083         25.97        530.08         24.97
     176.7912         13.93        537.09         24.97
     176.8745         11.92        533.09         24.98
     176.9583         20.95        524.07         25.01
